id	raw	isbn	publisher	issn
431	International Journal of Man-Machine Studies			0340-5354
433	TBC	0-7695-2250-5		1663-2826
438	Behaviour & IT			Vision Research
439	Software Engineering (Workshops)			Handbuch der pädiatrischen Osteopathie
442	Pattern Recognition Letters			1059-1524
443	Transportation Science			International Journal of Production Economics
444	Neural Computing and Applications			1938-3711
445	Knowl.-Based Syst.			Knowledge-Based Systems
449	Journal of Systems Architecture			Journal of Systems Architecture
450	Statistics and Computing			1045-1870
451	Perform. Eval.			1869-1447
452	J. Field Robotics			Nursing Outlook
453	Database			Clinical Biochemistry
454	Journal of Systems Integration			1557-8518
456	Microelectronics Journal			0761-8417
461	Artif. Intell.	1-55860-095-7		
462	ACM Trans. Program. Lang. Syst.			
465	SCIENCE CHINA Information Sciences			American Journal of Orthodontics and Oral Surgery
466	IJHPCA			1166-7087
470	IRCDL			
471	Algorithm Engineering			
474	Elektrotechnik und Informationstechnik			2365-953X
475	Signal Processing			1533-1458
476	IEEE Robot. Automat. Mag.			1070-9932
478	IEEE T. Instrumentation and Measurement			
501	The Visual Computer			
502	DG.O			
505	Perform. Eval.			1750-0443
508	Algorithmica			
509	Transportation Science			
510	Unternehmensforschung			
513	Computat. and Visualiz. in Science			
514	Parallel Computing			0309-0167
518	CSSP			
520	Journal of Approximation Theory			
522	J. Multimodal User Interfaces			1783-7677
523	EvoMUSART			
524	IBM Systems Journal			0013-936X
526	IEEE Annals of the History of Computing			
527	IEEE Software			0142-159X
529	INFOS	3-540-17158-4		
530	ITC	0-7803-2103-0		Computer Audit Update
534	Conference on Designing Interactive Systems	1-58113-787-7		
535	ACL			
560	ICSE			
561	Studia Logica			0039-3215
562	Tangible and Embedded Interaction			
563	ISMAR			
565	Speech Communication			Speech Communication
566	Computing			1435-1536
567	Computers & Security			Computers & Security
568	SIGART Bulletin			
570	AI EDAM			
572	Presence			
582	GECCO (Companion)	3540241663		1087-0156
583	Zeitschr. für OR			1435-1536
584	Poiesis & Praxis			0036-8075
589	Biological Cybernetics			1866-6167
590	EDBT/ICDT Workshops			
591	Computing			1866-6167
597	IEEE Computer			0740-7459
601	LISA			
610	AI Commun.			
612	Ann. Pure Appl. Logic			
614	Math. Meth. of OR			
619	IBM Journal of Research and Development	3-411-03106-9		International Encyclopedia of Social & Behavioral Sciences
622	Computer Aided Geometric Design			Computer Aided Geometric Design
627	ACM Multimedia 2001	0-89791-751-0		
633	AAAI			
635	IEEE Transactions on Signal Processing			0007-1161
636	JIT			0976-3147
637	J. ACM			International Journal of Heat and Mass Transfer
639	Discrete Mathematics			1468-2494
640	J. Comput. Sci. Technol.			0272-1724
642	ISSCC			
644	IEEE Intelligent Systems			
646	J. Artificial Societies and Social Simulation			0976-3147
648	SPLASH/OOPSLA Companion			
649	Higher-Order and Symbolic Computation			
650	Applied Artificial Intelligence			Computational Statistics and Data Analysis
655	SPIRE	3-642-16320-3		
657	HICSS			0049-3856
658	COMPCON			
659	ICME			
663	CAV			
670	Computer Applications in the Biosciences	0-13-163619-7		1352-2450
671	IEEE Comp. Int. Mag.			1557-8518
672	J. Symb. Log.			Trends in Biochemical Sciences
675	J. Information Science			1524-4040
676	Self-organising Software	0-13-106360-X		1352-2450
679	International Journal of Computer Vision			0140-6736
684	Artificial Intelligence In Medicine	0809475790	Elsevier B.V.	Artificial Intelligence In Medicine
692	SIGPLAN Notices	0-89791-108-3		
694	ACM Trans. Internet Techn.			
695	OOPSLA Companion	1-59593-193-7		0029-6503
697	IDEAS	0-7695-2404-4		
700	SIGGRAPH Courses	1-59593-364-6		
704	Inroads			
705	ITCS			
706	Inf. Services and Use			1557-8194
709	IJHPCN			
710	Cyberpsy., Behavior, and Soc. Networking			Gastroenterology
720	Computer Communications			1524-4040
729	WMTE			
731	COMAD			1613-7558
736	Inf. Process. Manage.			Information Processing and Management
742	SLT			
743	ICIG			0036-8733
744	C++			
746	PDPTA			
747	MFPS	3-540-55511-0		
763	Journal of Computational Biology			0036-8075
767	Brain connectivity			0018-9383
778	JASIST			
784	IEEE Computer			0003-4509
788	Intelligent Transportation Systems Magazine, IEEE			1939-1390
791	IEEE Trans. Med. Imaging			0036-8075
796	ACM Queue			
798	D-Lib Magazine			
831	Journal of The Operational Research Society			1476-9360
846	Security Protocols Workshop	0-201-37928-7		Electoral Studies
847	Nature			The Surgeon
848	ECOOP Workshops	3-540-66954-X		
853	IFM	3-540-41196-8		
855	PACIIA (2)			
856	SEKE			
859	Database			Historia Mathematica
863	ACM Trans. Graph.	1-59593-364-6		0730-0301
866	FOCS			
868	ISSS			
869	PDC			
875	IEEE Transactions on Information Theory	0-7695-3123-7		1651-2073
876	SIGIR Forum			Biochemical and Biophysical Research Communications
877	Journal of Software Maintenance			1432-0703
878	MTV			0929-7049
879	WebNet			
880	CADE			
884	J. Complexity			Oral Surgery, Oral Medicine, Oral Pathology, Oral Radiology and Endodontology
885	Robotica			0973-7693
886	Computers in Entertainment			Developmental Biology
887	ALIFE			1520-5215
888	ITNG			
891	Int. J. General Systems			
895	CONIELECOMP			International Review of Neurobiology
897	IEEE Conference on Computational Complexity	1-59593-159-7		
898	Active Rules in Database Systems			
901	B			Geriatric Clinical Advisor
903	ELPUB 1997			
904	JCAI			
905	Asymptotic Analysis			
907	APL	0-89791-226-8		
908	Algorithms	0-201-06672-6		Microprocessors and Microsystems
910	CARDIS			
911	J. Parallel Distrib. Comput.			Journal of Parallel and Distributed Computing
912	Winter Simulation Conference	0-7803-2109-X		
921	IS&N	3-540-64598-5		International Encyclopedia of Social & Behavioral Sciences
923	Briefings in Bioinformatics			Journal of Exotic Pet Medicine
931	Math. Oper. Res.			
935	IEEE Security & Privacy			1540-7993
938	Internet Research			
939	European Journal of Operational Research			
941	Scientometrics			Mechanisms of Ageing and Development
942	Scientometrics			1618-9558
945	JTAER			
948	Neural Networks	isbn		Neural Networks
954	ICNS			
956	IEEE Design & Test of Computers			
957	Combinatorica			
960	IEEE Trans. Contr. Sys. Techn.			1063-6536
964	Mathematical Methods of Operations Research			1432-5217
971	SIGCSE Bulletin			0097-8418
974	Neurocomputing			Neurocomputing
976	Bell Labs Technical Journal			Psychiatry
977	Electronic Voting			
978	Bell Labs Technical Journal			Seminars in Vascular Surgery
980	ICASSP			
983	Pattern Recognition Letters			Wear
984	Computers and the Humanities			Atmospheric Environment Part A, General Topics
985	J. Cheminformatics			
986	ACM Trans. Softw. Eng. Methodol.			Journal of Wind Engineering & Industrial Aerodynamics
987	IEEE Transactions on Systems, Man and Cybernetics			
992	JIT			Transactions of the Royal Society of Tropical Medicine and Hygiene
993	Adaptive Behaviour			0036-8075
997	LA-WEB			0018-5973
1000	CGIV			Optical Materials
1001	WER			Optical Materials
1007	BTW			
1008	Computer Networks and ISDN Systems			
1011	Integrated Network Management	0-444-89982-0		
1018	Semantic Web			
1019	Computational Complexity			1468-2494
1021	Automatica			Deep Sea Research (1953)
1025	Cybernetics and Systems			0196-9722
1026	Fuzzy Sets and Systems			1468-2494
1030	ACM Southeast Regional Conference 2005	0-89791-071-0		
1031	Constraints			
1033	Calculemus/MKM			
1034	eLearn Magazine			
1035	COCOON	3-540-40534-8		
1037	Inf. Process. Lett.			
1039	European Transactions on Telecommunications			Cornell Hotel and Restaurant Administration Quarterly
1043	Computer Music Journal			
1045	AFIPS National Computer Conference			
1046	Euro-Par			
1047	Computers and Games			
1051	Int. J. Game Theory			Bove and Davis' Diving Medicine
1053	Advances In Computers		Elsevier Science & Technology	Advances In Computers
1054	SIGCOMM	1-59593-009-4		
1055	Web Intelligence	0-7695-2415-X		
1056	SIGGRAPH Sketches	1-59593-364-6		
1064	ITiCSE	1-59593-024-8		
1066	Multimedia	1857130103		
1067	Computer Human Interaction			
1068	IEEE Trans. Knowl. Data Eng.			
1069	HiPC	3-540-66907-8		
1074	GI Jahrestagung	3-540-09038-X		
1076	IEEE Micro			
1077	Int. J. Computer Integrated Manufacturing			
1078	Transactions of the SDPS			
1082	UIST (Adjunct Volume)			
1084	ISQED			
1085	VR			
1087	RR			
1089	Journal of Automata, Languages and Combinatorics			
1090	IACR Cryptology ePrint Archive			
1095	DISCEX (1)			
1097	SoMeT			Geriatric Clinical Advisor
1098	Ars Comb.			
1099	Handbook of Networked and Embedded Control Systems			
1102	HCI (2)			
1103	MATA			
1104	GI-Jahrestagung			
1105	IMCSIT			
1107	AIPR			
1111	iJAC			
1112	International Journal of Information Technology and Decision Making			
1115	Future Generation Comp. Syst.			
1117	ICSM			
1118	Int. CMG Conference			
1120	Winter Simulation Conference			
1122	SODA	0-89871-513-X		
1123	CompSysTech			
1130	I. J. Social Robotics			1875-4791
1132	Grundlagen von Datenbanken			
1133	TAIC PART	1-58603-615-7		0926-9630
1136	ICPC			
1137	ICPADS	978-1-4577-0843-5		
1140	EUROCRYPT			
1148	CCCG			
1149	Neural Computation			
1151	Signal Processing			
1153	J. Funct. Program.			
1154	Discussiones Mathematicae - Graph Theory			
1160	HCC	0-7695-0474-4		
1161	WISE	0-7695-0577-5-1		
1164	CSF			
1165	Journal of Computer Security			
1167	ITS			
1168	PODC			
1169	CDC	978-1-4577-1636-2		
1170	3DIMPVT	978-1-4673-4470-8		
1171	ICEIS			
1176	First Monday	0-7923-7849-0		0025-7338
1179	IEEE Multimedia			Revue Française de Transfusion et Immuno-hématologie
1180	RECOMB	1-58113-635-8		
1181	ICNP	0-7695-1856-7		
1182	FSE	3-540-60865-6		
1183	AAECC	3-540-17162-2		1534-8687
1184	Applied Categorical Structures			0927-2852
1188	InfoVis	0-7803-8779-3		
1191	IT Professional			0036-8075
1196	IJAIP			
1201	Business & Information Systems Engineering			1047-4757
1206	DNA Based Computers			0065-955X
1209	Studia Logica			0028-3770
1216	Ingénierie des Systèmes d'Information			Human Pathology
1220	ICCE			
1221	LREC			
1224	KI			1432-1874
1229	ACM Comput. Surv.			
1233	ACM Trans. Design Autom. Electr. Syst.	3-540-43083-0		1352-2450
1237	IRE-ACM-AIEE '58 (Western) Proceedings of the May 6-8, 1958, western joint computer conference: contrasts in computers			Experimental Neurology
1238	IEEE Multimedia			0036-8075
1248	Informatik Spektrum			1076-6332
1250	Acta Inf.			
1259	Complexity			
1266	Quantum Information & Computation			
1269	HotNets			New Scientist
1270	RFID-TA			European Urology Supplements
1271	ICDM	0-7695-2459-1		
1272	ISBI			European Urology Supplements
1273	ICWSM	978-1-4673-4661-0		
1275	SIGGRAPH Computer Animation Festival			
1276	ISIT			
1277	MIE			0926-9630
1280	Comp. Opt. and Appl.			
1286	FMCAD	3-540-61937-2		
1288	Formal Asp. Comput.			0026-556X
1297	Berliner XML Tage			
1306	AI Soc.			1435-5655
1307	Behaviour & IT			
1310	RTA	0-387-15976-2		A Guide to Starting Psychotherapy Groups
1311	Computer Networks			
1312	New Generation Comput.			0002-953X
1326	ASE	978-0-7695-2035-3		
1327	Math. Log. Q.			
1328	ICC	0442278268		
1329	FTRTFT	3-540-58867-1		
1330	FSTTCS	3-540-62034-6		
1332	CAIP	3-540-60268-2		
1335	DEXA Workshop	0-7695-0281-4		
1337	SIGACT News			International Encyclopedia of Social & Behavioral Sciences
1339	IEEE Trans. Computers			
1342	SIGCSE			
1345	Computer Vision and Image Understanding			Shreir's Corrosion
1346	VLDB J.			0761-8425
1351	AIME '87	3-540-60025-6		
1352	SIGKDD Explorations			International Journal of Cardiology
1354	International Semantic Web Conference (Posters & Demos)			
1355	NLDB			
1356	Experimental Mathematics			
1357	Robotics and Autonomous Systems			
1358	DEBS			
1359	ICIP			
1360	KR			
1361	WORDS			American Journal of Obstetrics and Gynecology
1363	Hot Interconnects			
1368	HPDC	0-7803-2175-4		
1369	GRAPHITE			
1370	Journal of Machine Learning Research			
1377	ICEC			
1378	SIGGRAPH Asia 2013 Posters			
1379	Audio Mostly Conference			
1380	IEEE Transactions on Image Processing			1057-7149
1381	VRIC			
1383	MDM			
1386	Technique et Science Informatiques			
1389	INEX			
1395	CW	0-7695-2191-6		1474-547X
1396	Cognitive processing			0036-8075
1397	ITC			1432-9417
1398	ITC			Travel Medicine and Infectious Disease
1400	USENIX Summer			
1402	DEXA			
1404	INFOCOM			
1407	ISDA (2)			
1408	SAMT			
1410	INTERSPEECH			
1411	AIAI			
1413	CEC			1572-8668
1414	IAAI			
1415	IEEE SCC			
1416	ICML			
1417	In Silico Biology			1386-6338
1418	Concurrency - Practice and Experience			
1419	Arch. Math. Log.			
1420	IEEE Trans. Automat. Contr.			0029-2001
1421	SIAM J. Comput.			
1424	Lisp and Symbolic Computation			
1426	SIGUCCS	0-89791-631-X		
1429	ISCA			
1430	Optimization Techniques	3-540-07165-2		Journal of Mathematical Economics
1439	Journal of Documentation			
1440	SIGWEB Newsletter			
1451	Computing in Science and Engineering			
1454	Koli Calling			
1457	Datenschutz und Datensicherheit			
1459	ICTAI			
1460	Queueing Syst.			0036-8075
1461	ISCC			0036-6978
1466	Pattern Recognition			0256-4947
1468	World Congress on Formal Methods	3-540-66588-9		
1469	SwSTE	0-8186-7120-3		2164-2591
1470	Neural Networks			0036-8075
1479	Reliable Computing			Transplantation Proceedings
1485	CAMP			
1486	Journal of Biomedical Informatics			0025-7753
1487	ECBS			1058-6180
1489	BIBE			
1490	DELTA			
1491	TACCESS	0-7695-0768-9		Revue de Chirurgie Orthopedique et Traumatologique
1505	ICETET			
1506	FUN			
1508	Algorithmica			
1511	Decision Support Systems			Journal of Biomedical Engineering
1513	Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)	3540499326; 9783540499329		03029743
1514	Int. J. Found. Comput. Sci.			1875-7855
1517	PsychNology Journal	978-1-4244-7876-7		0363-0242
1522	ACM SIGSOFT Software Engineering Notes			1573-076X
1523	OOPS Messenger	0-89791-610-7		
1526	ICIS	0-7695-2233-5		
1527	DBSec	0-7695-2806-6		
1528	SEBD			1424-9294
1531	J. Algorithms			0036-8075
1538	DATESO			Poetics
1542	CA	1-55860-539-8		1600-0625
1544	CIP			0304-3975
1549	Theor. Comput. Sci.			0041-1345
1551	International Journal of Wireless and Mobile Computing			17411084
1555	Fundam. Inform.	3-7908-1469-5		0065-2881
1562	AISTATS			0962-9351
1564	Operating Systems Review			
1567	MFCS			
1568	ICSAMOS	978-1-4673-4832-4		1387-2532
1571	Discrete Event Dynamic Systems	0-470-86412-5		
1575	Mathematics and Computers in Simulation			International Journal of Heat and Fluid Flow
1576	CSCWD			0962-9351
1579	IBM Journal of Research and Development			Advances in Protein Chemistry
1587	Computers & OR			1521-6918
1589	J. Comb. Theory, Ser. A			
1590	J. Comput. Sci. Technol.			1872-6356
1592	Foundations and Trends in Theoretical Computer Science	1601985940		
1594	ECEASST			
1595	APPLIED INTELLIGENCE			0924-669X
1596	IJUC			0887-2333
1597	Rendering Techniques			
1600	Information systems security			0143-2524
1601	AIED			Geriatric Clinical Advisor
1602	EVIA@NTCIR			Advances in Applied Microbiology
1610	Electronic Notes in Theoretical Computer Science (ENTCS)			Advances in Quantum Chemistry
1618	AINA			
1619	J. Optimization Theory and Applications			Methods in Microbiology
1620	Dependability metrics			
1622	IEEE ICCI			
1624	MobiSys			
1626	Privacy and Identity Management for Life			
1627	Electr. J. Comb.			
1628	ACM Trans. Asian Lang. Inf. Process.			
1644	Haskell			
1647	DIGRA Conf.			
1651	FSKD (5)			
1652	Journal of Systems and Software			0164-1212
1654	Annales des Télécommunications			Annales de réadaptation et de médecine physique
1657	ZB	3-540-67944-8		
1659	SIGecom Exchanges			
1662	DAGM-Symposium	3-540-10876-9		
1663	EWCBR	3-540-64990-5		0302-9743
1665	PACIS			
1666	SCIENCE CHINA Information Sciences			1869-1919
1667	VRAIS	0-8186-8362-7		
1668	KES (2)			0302-9743
1669	IEEE Trans. on Circuits and Systems			
1671	ICALT	0-7695-1013-2		
1672	CoRR			
1675	J. Multivariate Analysis			Journal of Multivariate Analysis
1680	IROS			
1681	Clinical Orthopaedics and Related Research			"International Journal of Computing and Applications, Vol. 4, No.
  1, June 2009, pp. 87-94"
1682	DBTA	978-1-4244-6977-2		
1685	NOSSDAV	1-59593-285-2		
1686	Computer Networks			Computer Networks
1687	BMC Bioinformatics			1471-2105
1688	APCCAS	1-4244-0387-1		
1690	Telecommunication Systems			1018-4864
1691	HCI (1)			
1692	ACPR			
1694	FUZZ-IEEE			
1697	AMAST			
1699	IJDWM			
1700	ACM SIGCSE Bulletin			
1701	PloS one			1932-6203
1702	Ad Hoc Networks			1570-8705
1703	Des. Codes Cryptography			
1704	Advanced Engineering Informatics			Advanced Engineering Informatics
1705	UMAP Workshops			
1706	BDA			
1707	IRMA Conference	1-878-28984-5		
1709	Journal of Mathematical Imaging and Vision	0-7695-1278-X		1573-7683
1710	NDSS			
1711	Wireless Personal Communications			0929-6212
1713	Int. J. Hum. Comput. Interaction			
1715	ICDM Workshops			
1716	VLSI Design	0-7695-2264-5		
1718	ICRA			
1719	DATE			
1722	Computers & Education			Computers & Education
1723	ICICIC (3)	0-7695-2616-0		
1724	ICMI			
1725	Int. J. Systems Science			
1726	Computers and Graphics			0097-8493
1727	Mathematical and Computer Modelling			Mathematical and Computer Modelling
1729	SPLC	3-540-28936-4		
1730	GLOBECOM			
1731	Fusion		978-0-12-481851-4 2005 xv-xvi xv xvi 10.1016/B978-012481851-4/50000-7 http://dx.doi.org/10.1016/B978-012481851-4/50000-7 doi:10.1016/B978-012481851-4/50000-7	
1733	IEEE Transactions on Industrial Electronics			
1736	IEEE Trans. VLSI Syst.			1063-8210
1737	Pacific Symposium on Biocomputing			2335-6936
1738	CIS			0302-9743
1739	UIC/ATC			
1741	Mathematical Structures in Computer Science			
1745	Computer-Aided Design			
1746	ICDE	0-7695-2570-9		
1747	Int. J. Comput. Geometry Appl.			
1748	Computers & Mathematics with Applications			Computers and Mathematics with Applications 65 (2013) 1421-1426
1749	Wirtschaftsinformatik / Angewandte Informatik			1861-8936
1751	The Visual Computer			
1752	ICSNC	0-7695-2699-3		
1755	Proceedings of the IEEE			
1756	JSAT			
1761	Sigplan Notices			
1762	IEEE P&DT			
1763	GREC	3-540-64381-8		Marketing and Football
1767	FG			
1768	RSFDGrC			Unifying Concepts in Granular Media and Glasses
1770	Fundam. Inform.			Handbook of Measure Theory
1773	Robotics & Automation Magazine, IEEE			1070-9932
1774	Graphs and Combinatorics			1435-5914
1775	Appl. Algebra Eng. Commun. Comput.			1432-0622
1776	EMO			
1777	IEEE Transactions on Communications			0090-6778
1780	IFIP Congress (1)			
1783	Journal of Multimedia			Asia-Australia Marketing Journal
1784	Industrial Electronics, IEEE Transactions			0970-4388
1785	IEEE Trans. on CAD of Integrated Circuits and Systems			0040-3385
1789	IEEE Trans. Circuits Syst. Video Techn.			Journal of Process Control
1791	IJTM			
1792	Knowledge Intensive CAD	0-7923-7619-6		
1793	LCN			
1795	IEEE Journal on Selected Areas in Communications			0278-0046
1797	Micro, IEEE			0272-1732
1799	Edutainment			
1800	J. Electronic Testing			Knowledge-Based Systems
1801	Journal of Networks			
1802	Cryptologia			
1803	JCP			
1804	Wireless Networks			Paediatric Respiratory Reviews
1806	J. Comput. Physics			Journal of Computational Physics
1807	Journal of Software			1796217X
1808	J. High Speed Networks			Composites Science and Technology
1809	EC	1-59593-049-3		
1810	GI-Jahrestagung			
1812	Information theory	0-7803-5363-3		The Journal of Prosthetic Dentistry
1813	J. Simulation			Optics and Lasers in Engineering
1815	FPL	3-540-66457-2		
1817	Scientific Visualization	0-8186-7777-5		
1818	MSV			
1819	VLSI-SOC			
1820	RITA			The Journal of Logic Programming
1821	IEEE Journal on Selected Areas in Communications			Engineering Analysis with Boundary Elements
1823	Industrial Management and Data Systems			0278-0070
1824	Computer Vision and Image Understanding			The Journal of Prosthetic Dentistry
1827	COLT			
1831	ICALP	3-540-10003-2		
1834	IEEE Journal on Selected Areas in Communications			
1836	Informatica (Slovenia)			
1837	PVLDB			
1839	Formalized Mathematics			
1842	EMNLP			
1844	Generic Programming	1-4020-7374-7		
1845	SI3D	1-58113-645-5		
1846	SIGGRAPH Web Graphics	1-58113-896-2		
1848	WACV			
