id	tag_name
6390	10k cores
6417	10m resolution
6500	10px width
6525	10t full
6537	10th annual
6543	10th graders
6614	11 1997
6679	11 classroom
6685	11 computing
6720	11 ea
6748	11 ghz
6764	11 international
6917	110 100
6944	110 mhz
7018	111 switchedcapacitor
7063	112 virtual
7169	115 bpm
7301	11cdpn binding
7334	11eapproximation algorithm
7429	12 0
7431	12 005
7434	12 1
7601	12 fraction
7611	12 ghz
7768	12 power
7775	12 prophets
7792	12 regularizer
7793	12 relaxation
7854	12 transportation
7865	12 unswnb15
7866	12 v
7920	120 khz
7924	120 kmh
7962	1200 degrees
8018	120min per
8046	1212xy functions
8120	1232013 447490
8202	125 msampless
8329	128 hz
8462	12axis gyroscopefree
8503	12bit 350
8565	12domain mvalcd
8627	12mlambda 1lambda
8661	12pulse converter
8663	12pulse rectifier
8675	12rightu0026equiv 0pmod
8777	13 2
8885	13 june
8890	13 km
8905	13 methods
8999	130 db
9011	130 nm
9157	135 mbits
9268	13bit 20mss
9430	14 ghz
9601	1410 computers
9635	143 kilometres
9637	143 nm
9726	147 dab
9727	147 exploration
9738	14764 standard
9743	148 dbm
9780	14bit 200mss
9824	14mpixel cmos
9856	14th international
9878	15 16
9948	15 db
9975	15 fs
10001	15 justifycontent
10002	15 k
10042	15 months
10073	15 points
10144	15 years
10246	1500byte ethernet
10255	150ghz pushpush
10267	151 2008
10308	1530 nm
10507	15min time
10512	15mpixel rgbz
10546	15th international
10668	16 ec
10707	16 instructions
10742	16 mm
10743	16 modeling
10837	16 way
10864	160 microm
10890	16092 etsi
10965	164 389403
11039	168 instances
11086	16bit carry
11106	16bit msp
11182	16k processor
11307	16vector algorithm
11435	17 sections
11471	170 mu
11517	1721177192 2009
11538	174 gbitsec
11648	17round knownkey
11670	18 19
11734	18 ghz
11817	180 2009
11850	180 nm
11934	183 933943
11967	1849 2004
11997	187 ghz
12053	18naphthoquinone predict
12154	19 ghz
12197	19 years
12214	190052 standard
12230	1908ghz percentage
12282	1924 1927
12328	194 thz
12390	196 manufacturing
12397	1960 1971
12623	1981 solution
12638	1982 2015
12686	19841999 20002015
12691	1985 2004
12696	1985 2014
12747	1987 2002
12797	1989 2014
12820	1990 1994
13089	1996 2000
13111	1996 attentionalconfigural
13197	1998 1999
13203	1998 2007
13235	1998 showed
13336	19th century
13352	1a expression
13636	1crystallin enhancer
13650	1d 2d
13657	1d analytic
13719	1d convolutional
13803	1d grey
13926	1d problems
13930	1d projections
13985	1d signals
14077	1d4d0f textdecoration
14153	1dimensional model
14184	1dof 2dof
14239	1ell q
14241	1ended graphs
14301	1f characteristic
14329	1f3 corner
14338	1factor theorem
14347	1factors graph
14355	1fault tolerant
14440	1gss 115enob
14459	1h nmr
14490	1hop information
14584	1kfactors fractional
14599	1kn 2kn
14601	1knot fuzzy
14624	1lambda 2dots
14654	1level dwt
14746	1median problem
14790	1mode analysis
14811	1n 2
14819	1n associations
14869	1n12 n
14910	1norm minimization
14916	1norm regression
14920	1norm related
14973	1outof2 softwarebased
14984	1outofn oblivious
14990	1output switching
15008	1p judgments
15182	1root lambdaepsilon
15267	1sink location
15349	1st n
15371	1st step
15417	1storder operators
15474	1t1r reram
15583	1v 15bit
15669	1wconstacyclic codes
15719	1xevdv provides
15744	2 0
15755	2 1
15762	2 12
15810	2 2
15835	2 2free
15853	2 3
15931	2 accepts
15961	2 algorithm
15966	2 alphag
16056	2 branches
16066	2 c254
16138	2 communication
16156	2 connected
16167	2 constraint
16177	2 control
16213	2 d1
16248	2 diabetes
16262	2 dimensional
16283	2 dl
16289	2 dof
16310	2 e
16315	2 edgeconnectivity
16326	2 el
16447	2 gain
16460	2 gbs
16491	2 groups
16500	2 handle
16508	2 height
16582	2 intercore
16587	2 intersection
16612	2 k
16659	2 le
16677	2 linear
16731	2 methods
16733	2 mev
16738	2 mil
16755	2 mlc
16764	2 model
16787	2 mu
16803	2 n
16836	2 node
16846	2 norm
16978	2 play
17048	2 q
17123	2 rl
17205	2 size
17286	2 supersmoothness
17325	2 thorder
17403	2 v
17414	2 various
17466	2 wsatp
17467	2 x
17476	2 years
17479	2 z
17503	20 2011
17511	20 25
17535	20 activity
17552	20 applications
17611	20 color
17674	20 existing
17692	20 fully
17853	20 nm
17881	20 patients
17892	20 phenomenon
17928	20 push
17943	20 resources
17957	20 semantic
17978	20 social
17999	20 system
18005	20 technologies
18018	20 tools
18022	20 transparent
18058	20 years
18084	200 degree
18098	200 hz
18119	200 mevcm2mg
18122	200 mhz
18190	2000 2009
18202	2000 204221
18235	2000 additions
18325	2000 problem
18343	2000 strategy
18388	20002015 periods
18477	2001 pp
18498	2001july 2006
18515	2002 2012
18529	2002 329343
18608	2003 2007
18833	2004a submitted
18847	2005 2010
18893	2005 darpa
18961	2006 179194
18976	2006 24
19007	2006 adhoc
19057	2006 pp
19151	2007 clear
19163	2007 evaluation
19186	2007 optimizing
19238	2008 2012
19303	2008 mw
19311	2008 performance
19327	2008 signal
19336	2008 us
19338	2008 utc
19351	2009 1
19425	2009 lost
19510	200mss hybrid
19544	2010 2013
19581	2010 census
19617	2010 international
19643	2010 shanghai
19658	2010 workshop
19682	2011 2012
19689	2011 213237
19765	2011 pacific
19799	2011 wiley
19875	2012 language
19898	2012 photo
19902	2012 pp
19936	2012 wiley
20059	2014 799809
20060	2014 acm
20083	2014 european
20098	2014 indian
20100	2014 ipc
20105	2014 method
20136	2014 test
20187	2015 challenge
20239	2015 medical
20255	2015 pp
20332	2016 contest
20392	2016 paper
20399	2016 rev
20463	2017 challenge
20525	2017 respectively
20732	202 n6
20770	2020 mw
20960	20gbs fullrate
20996	20mhz lte
21005	20nm cmos
21034	20th anniversary
21128	21 dimensional
21129	21 dimensions
21176	21 multiplexer
21321	213 231
21354	216 1
21381	217434 hz
21419	21dimensional boitileonpempinelli
21426	21dimensional burgers
21435	21dimensional generalized
21454	21dimensional modified
21487	21norm based
21501	21st century
21541	22 32
21638	22 n
21720	2200 hours
21774	223 ps
21818	2256544557 2009
21857	22bit readout
21902	22nm cmos
21910	22nm technology
21977	23 case
22002	23 extensible
22042	23 n
22102	230 mhz
22132	231 present
22144	232 2014
22185	235249 electronic
22228	23ghz bw
22261	23to29 ghz
22280	24 244
22282	24 26
22286	24 32
22299	24 52
22314	24 axon
22333	24 decoder
22349	24 gbps
22350	24 gbs
22351	24 ghz
22357	24 h
22376	24 leq
22395	24 mu
22449	24 x
22468	2400 bps
22527	245 ghz
22651	24ghz receiver
22658	24ghz transmitter
22702	24ma battery
22785	25 cm
22902	25 percent
22934	25 speakers
22954	25 v
22965	25 years
22996	250 mhz
23000	250 ms
23140	256 global
23259	25c 85
23264	25d 3d
23304	25d heterogeneously
23356	25d technology
23357	25d terrain
23417	25intersection model
23441	25point finite
23484	26 33
23513	26 ghz
23528	26 mhz
23548	26 statistically
23672	26amon isomer
23893	279valphe polymorphism
23905	27round present
23950	28 characters
23973	28 ghz
23990	28 nm
24100	28gbd 16qam
24113	28ghz phaselocked
24122	28nm cmos
24254	293436da 550238da
24276	296 2006
24327	2a25 2b31
24446	2b compare
24516	2bitfixed characteristic
24581	2catalog segmentation
24582	2categorical presentation
24691	2color partition
24716	2coloring without
24722	2coloured finite
24749	2connected 2edgeconnected
24769	2connected graph
24812	2consistency techniques
24834	2crndc problem
24861	2d 1f
24865	2d 25d
24868	2d 3d
24891	2d adaptive
24914	2d analytic
24930	2d anisotropic
24956	2d articulated
24974	2d axial
25066	2d cases
25090	2d choroidal
25131	2d complex
25132	2d compliant
25170	2d convolution
25171	2d convolutional
25184	2d corresponding
25249	2d delayed
25290	2d digital
25298	2d directional
25299	2d directionofarrival
25303	2d discrete
25306	2d disk
25323	2d domain
25393	2d exponential
25402	2d face
25415	2d feature
25435	2d fingerprints
25453	2d flow
25457	2d fluid
25471	2d fourier
25479	2d fracture
25483	2d frame
25511	2d gaussian
25523	2d geometry
25568	2d harmonic
25589	2d hints
25635	2d image
25636	2d imagebased
25639	2d images
25700	2d karhunenloeve
25723	2d landmarks
25739	2d layer
25771	2d liquid
25778	2d localisation
25784	2d log
25810	2d lyapunov
25819	2d mammography
25822	2d manifolds
25825	2d map
25828	2d maps
25832	2d markov
25845	2d matrix
25857	2d medical
25865	2d mesh
26081	2d patches
26096	2d persistent
26101	2d pgf
26103	2d phase
26115	2d photonic
26137	2d plane
26164	2d polynomial
26171	2d posepairs
26193	2d probing
26226	2d qstft
26290	2d reprojection
26308	2d roesser
26364	2d sensor
26376	2d shape
26405	2d singular
26407	2d singularly
26419	2d sketching
26424	2d slice
26455	2d spatial
26490	2d static
26511	2d structure
26531	2d surface
26540	2d switching
26548	2d systems
26559	2d team
26589	2d timedependent
26660	2d ultrasound
26685	2d vector
26700	2d view
26760	2d xray
26763	2d zerocrossing
26778	2d2d 2d3d
26809	2d3d fusion
26815	2d3d hybrid
26829	2d3d mapping
26847	2d3d pose
26848	2d3d registration
26850	2d3d repeatability
26869	2d3d ultrasound
26920	2ddct steganography
26974	2designs codes
27037	2dimension sum
27069	2dimensional discretetime
27079	2dimensional generic
27088	2dimensional inverse
27127	2dimensional posets
27195	2distance paireddominating
27276	2dof haptic
27285	2dof manipulator
27287	2dof microgripper
27297	2dof pid
27301	2dof planar
27342	2dots lambda
27510	2edgeconnected steinhaus
27513	2edgeconnectivity augmentation
27617	2fold cross
27639	2free posets
27695	2generation pedigrees
27761	2hop coloring
27836	2input 1output
27874	2k 1
27877	2k 1approximate
27912	2k k2
28036	2layer planarization
28110	2level scheduling
28193	2m 1
28308	2means classification
28310	2median problem
28378	2n 1
28394	2n 2k
28433	2n elements
28490	2n steps
28527	2n1 adders
28575	2n2 qubits
28651	2nd order
28670	2nd step
28679	2nd workshop
28771	2norm optimization
28792	2nperiodic binary
28830	2ofh 1
28913	2p 1
28965	2page rectilinear
29094	2pl ddb
29095	2pl distributed
29108	2player game
29121	2pnperiodic binary
29234	2r schemes
29249	2rainbow domination
29442	2spin systems
29455	2sqrt 1
29472	2stage algorithm
29476	2stage association
29517	2state 3neighborhood
29533	2step 1step
29676	2time heuristic
29677	2time slot
29691	2timescale approach
29752	2tuple linguistic
29790	2upspsrps pm
29815	2v fq
29854	2vd processing
29891	2wafer cyclic
29916	2way interaction
29930	2way random
30029	3 1
30042	3 16
30057	3 1rounded
30084	3 3
30091	3 4
30112	3 5
30205	3 bits
30234	3 cgdiagnosable
30240	3 circuit
30380	3 every
30445	3 girth
30454	3 group
30483	3 immediate
30545	3 layers
30570	3 machines
30590	3 meters
30646	3 n
30662	3 nonoverlapping
30798	3 relevant
30906	3 tester
30907	3 texmathinlineformula
30922	3 times
30951	3 us
30990	3 x
30996	30 000
31060	30 cm
31086	30 educational
31092	30 eyes
31098	30 frames
31111	30 ghz
31113	30 higher
31167	30 modes
31269	30 x
31270	30 years
31397	300800 mhz
31425	300mw coalfired
31438	3015 matrix
31525	30db loss
31589	30th ifip
31656	31 ghz
31770	312avoiding permutations
31850	31dimensional nonlinear
31889	32 34
31893	32 48
31895	32 5
31909	32 axis
31910	32 b
31916	32 bit
31923	32 channels
31999	32 nm
32017	32 polynomials
32057	320 mhz
32106	32253271 2003
32148	327 valid
32267	32bit words
32314	32month public
32397	33 examinations
32410	33 items
32446	33 v
32474	333infty 333
32503	33infty 33
32539	34 36
32552	34 awg
32596	34 semantic
32689	35 2002
32710	35 air
32734	35 ghz
32735	35 gss
32742	35 khz
32810	350 mss
32825	350mw aircooled
32866	358 dicccols
32906	35w saw
32951	36 films
32963	36 millions
32973	36 people
33067	360 videos
33099	360degree awareness
33100	360degree camera
33101	360degree cameras
33102	360degree content
33201	36pxbsacpc defaulttitle
33288	375 na
33352	38 infectious
33362	38 samples
33368	38 weeks
33392	384 gbitss
33421	389403 1988
33496	396410 1983
33558	3approximation algorithm
33609	3axis nc
33630	3b20d processor
33727	3ccd camera
33777	3cnf formulas
33800	3colorability problem
33812	3colorable set
33831	3coloring zp
33832	3colorings discrete
33834	3colorings nvertex
33853	3component sensor
33854	3component stations
33886	3connected matroids
33954	3d 2d
33961	3d 4d
33971	3d acceleration
33985	3d active
34039	3d animation
34060	3d applications
34075	3d architectures
34082	3d arrangement
34123	3d audio
34134	3d automatic
34181	3d bilateral
34185	3d binary
34201	3d blob
34215	3d bone
34260	3d cadastral
34301	3d cell
34315	3d chain
34319	3d channel
34332	3d chip
34350	3d city
34397	3d collision
34418	3d components
34424	3d computational
34426	3d computer
34461	3d content
34463	3d contents
34481	3d convolution
34482	3d convolutional
34490	3d coordinates
34492	3d cordic
34493	3d coronary
34514	3d crossbar
34526	3d csem
34529	3d cstring
34531	3d cta
34551	3d curve
34553	3d curves
34572	3d data
34608	3d dense
34612	3d density
34617	3d depth
34624	3d design
34654	3d digital
34657	3d digitization
34660	3d digitizing
34669	3d directional
34684	3d displays
34691	3d distributed
34711	3d drawing
34712	3d drawings
34725	3d dynamic
34729	3d ear
34735	3d echo
34745	3d edgebundling
34753	3d effects
34770	3d electronic
34782	3d em
34814	3d entitybased
34819	3d environments
34874	3d face
34875	3d faces
34898	3d feature
34900	3d features
34909	3d fiber
34951	3d floorplanning
34952	3d flow
34958	3d fluorescence
34965	3d fmri
35005	3d freehand
35022	3d functions
35061	3d genome
35070	3d geometric
35094	3d global
35116	3d graphic
35117	3d graphical
35118	3d graphics
35119	3d graphs
35130	3d grids
35134	3d groundtruth
35195	3d highfidelity
35229	3d hp
35234	3d human
35252	3d ic
35256	3d ics
35263	3d image
35267	3d imagery
35268	3d images
35270	3d imaging
35286	3d indoor
35295	3d information
35303	3d input
35308	3d integrated
35309	3d integration
35344	3d ionospheric
35412	3d laparoscopic
35427	3d layer
35463	3d line
35467	3d linedrawing
35481	3d localization
35484	3d location
35512	3d magnetic
35529	3d map
35531	3d maps
35542	3d massive
35576	3d medical
35588	3d mesh
35620	3d microprobe
35634	3d millimeter
35645	3d mitochondria
35655	3d mocap
35658	3d model
35662	3d modeling
35665	3d models
35669	3d module
35684	3d morphable
35688	3d morphology
35699	3d motion
35708	3d movies
35709	3d moving
35714	3d mpsocs
35726	3d mubt
35744	3d multilevel
35793	3d navigation
35804	3d network
35805	3d networkonchip
35822	3d noc
35825	3d nocs
35854	3d object
35858	3d objects
35878	3d onchip
35887	3d operation
35921	3d packaging
35940	3d panel
35951	3d parametric
35952	3d parcels
35959	3d partition
35966	3d patches
35975	3d patterns
35993	3d perception
35996	3d periodic
36071	3d point
36079	3d points
36112	3d positioning
36135	3d primitive
36140	3d printed
36141	3d printer
36143	3d printers
36144	3d printing
36186	3d protein
36225	3d radar
36237	3d random
36238	3d range
36259	3d real
36267	3d receptor
36272	3d reconstruction
36287	3d reflector
36290	3d region
36311	3d representation
36312	3d representations
36360	3d rotation
36369	3d rrm
36389	3d scanner
36392	3d scanning
36394	3d scans
36403	3d scenarios
36404	3d scene
36408	3d scenes
36433	3d segmentation
36455	3d sensory
36471	3d shape
36475	3d shapes
36511	3d sine
36521	3d skeletal
36522	3d skeleton
36560	3d solid
36570	3d sonos
36576	3d space
36608	3d spline
36625	3d stacked
36646	3d stereo
36673	3d structure
36676	3d structured
36677	3d structures
36686	3d subquery
36703	3d surface
36705	3d surfaces
36720	3d swimming
36732	3d synthetic
36744	3d tag
36785	3d test
36794	3d texturebased
36840	3d tooth
36845	3d topology
36847	3d torso
36848	3d torus
36849	3d torusbased
36867	3d trajectory
36901	3d triangular
36935	3d u2net
36946	3d ultrasound
36968	3d urban
36969	3d us
36985	3d vector
37010	3d video
37014	3d videos
37022	3d virtual
37031	3d visual
37035	3d visualization
37036	3d visualizations
37048	3d volume
37050	3d volumes
37051	3d volumetric
37072	3d warp
37080	3d wavelet
37136	3d xface
37216	3db axial
37222	3db defined
37226	3db gain
37254	3dcad cae
37288	3dconsistent way
37403	3dhevc proposed
37457	3dimensional differential
37492	3dimensional mapping
37526	3dimensional representation
37551	3dimensional ultrasound
37553	3dimensional versions
37611	3dm algorithm
37660	3dn ions
37665	3dnoc router
37694	3dof finger
37937	3dstacked dram
37944	3dstacked memory
37955	3dstructural models
38177	3g 4g
38207	3g evolution
38234	3g mobile
38238	3g network
38259	3g systems
38274	3g wireless
38280	3g1x ev
38282	3g1x rtt
38327	3gpp 3gpp2
38358	3gpp lte
38360	3gpp lteadvanced
38386	3gpp release
38526	3k 2
38557	3layer approach
38558	3layer architecture
38565	3layer mlp
38582	3lead vcg
38611	3level signaling
38623	3line graphs
38698	3min step
38730	3n 2b
38731	3n 3
38817	3p judgments
38820	3p oscillation
38822	3p reference
38887	3phase 4wire
38998	3px backgroundcolor
39058	3rd generation
39064	3rd level
39207	3sat decision
39470	3uniform hypergraph
39483	3upu wrist
39492	3utr autismimplicated
39516	3valued games
39545	3vertex connected
39602	3wise independent
39655	3znetwork boost
39687	4 2002
39723	4 5
39744	4 7
39747	4 8
39827	4 classes
39848	4 compressed
39850	4 concepts
39871	4 data
39878	4 ddcpaa
39893	4 dies
39903	4 division
39913	4 e
39964	4 galaxy
39972	4 ghz
40036	4 k
40082	4 liveness
40125	4 motes
40187	4 planar
40273	4 similar
40307	4 suffice
40373	4 vertices
40493	40 gbits
40565	40 nm
40657	40 years
40674	400 degrees
40706	400 mlps
40726	400 system
40818	404 error
40862	4096color thinfilmtransistor
40882	40dimensional extremal
40935	40nm cmos
41015	41 w
41091	42 43
41243	43 characters
41293	433 mhz
41295	4338689152400 mhz
41361	44 dct
41506	45 db
41508	45 degrees
41687	46 classes
41728	467 average
41822	479 molybdenum
41897	48 vs
42047	4approximation factor
42155	4chamber 2chamber
42188	4chromatic graphs
42227	4connected graph
42240	4connected plane
42287	4cycles adjacent
42296	4d 1f
42342	4d clifford
42357	4d ct
42455	4d modeling
42461	4d morphable
42464	4d mr
42503	4d plenoptic
42516	4d radiance
42625	4dfp descriptors
42626	4dgin1 4dgin2
42639	4dimensional complex
42643	4dimensional fpk
42702	4dqsar analysis
42705	4dqsar models
42741	4equivalenced association
42783	4g 5g
42814	4g lteadvanced
42869	4gdds type
42986	4k n
42991	4k resolution
43110	4monthold infants
43118	4n 13
43285	4q qam
43320	4regular graphs
43387	4spinor ccsd
43398	4stage rosenbrock
43672	4x2n3 meshes
43703	5 10
43704	5 1014
43750	5 6
43766	5 8yearold
43806	5 blindoversampling
43843	5 considered
43857	5 days
43858	5 db
43886	5 eh
43899	5 factors
43930	5 gbs
43935	5 ghz
44024	5 method
44038	5 mm
44063	5 nanometers
44072	5 ns
44143	5 robots
44153	5 seconds
44215	5 v
44234	5 wrobot
44235	5 x
44268	50 65
44307	50 db
44322	50 ethanol
44359	50 hz
44360	50 images
44406	50 mhz
44531	50 years
44630	500 samples
44703	500m multadds
44725	501 electronic
44816	50m sipof
44939	512 points
44983	515 db
45030	52 ghz
45168	532 nm
45219	54 gbps
45291	55 bonds
45292	55 bp
45319	55 pae
45342	550238da 347294da
45345	550fs step
45398	56 emotional
45507	57 final
45536	575 mhz
45628	59 ghz
45678	5axis control
45717	5bit sige
45784	5cycles two
45821	5d world
45912	5g applications
45925	5g beyond
45936	5g cellular
45945	5g communications
45955	5g cooperative
45984	5g europe
46035	5g link
46056	5g mobile
46068	5g network
46070	5g networks
46072	5g new
46081	5g nr
46138	5g smallcell
46154	5g systems
46158	5g technologies
46218	5gb5g networks
46288	5grit project
46293	5gsatellite integration
46329	5ht2a receptor
46570	5th generation
46577	5th ifip
46578	5th international
46625	5vertices 5colorable
46663	5year low
46693	6 2
46712	6 5
46713	6 6
46717	6 6path
46809	6 exists
46832	6 ghz
46847	6 hz
46928	6 points
46960	6 sd
46998	6 types
47088	60 degrees
47107	60 ghz
47166	60 rh
47191	600 degrees
47199	600 index
47231	600 v
47242	6000 model
47272	60123 2006
47291	604791 2
47364	60ghz voltagecontrolled
47524	61850 standard
47571	622 mbps
47578	62304 standard
47624	63 dangxiong
47626	63 earthquake
47631	63 kbs
47720	64 bit
47721	64 bits
47727	64 channels
47747	64 gbits
47765	64 kbits
47784	64 participants
47857	64apsk constellations
47872	64bit address
47879	64bit blocks
47884	64bit cl3a
47900	64bit key
48003	64qam golay
48080	65 nm
48141	65nm cmos
48159	65nm smaller
48226	666 mms
48227	666 tiling
48382	695 mw
48414	6b 46gss
48419	6b timeinterleaved
48545	6dof camera
48611	6dof state
48643	6g beyond
48759	6month followup
48785	6phosphogluconate dehydrogenase
48879	6th level
48986	7 4
48988	7 5
48994	7 9
48995	7 9cycles
49035	7 dof
49187	7 well
49230	70 fundus
49283	70 w
49351	70ghz 80ghz
49590	75 db
49617	75 mm
49846	79 13
49886	79nw cmosonly
49936	7day 5year
50127	8 24
50136	8 4
50142	8 8
50143	8 9
50166	8 blocks
50290	8 leech
50374	8 sentinel2
50399	8 tbs
50407	8 times
50411	8 transmit
50438	80 107
50464	80 bpm
50674	80211 80216
50680	80211 ad
50695	80211 bluetooth
50703	80211 dcf
50712	80211 edca
50718	80211 fingerprinting
50726	80211 handovers
50749	80211 multihop
50755	80211 network
50757	80211 networks
50771	80211 psm
50805	80211 wireless
50806	80211 wlan
50807	80211 wlans
50955	80211b mac
50974	80211based ad
50990	80211based wur
51013	80211e edca
51058	80211g zigbee
51080	80211n 80216e
51085	80211n devices
51092	80211n mimo
51105	80211n tgn
51234	802154 lrwpan
51235	802154 mac
51260	802154 standard
51340	80216 based
51363	80216 standard
51419	80216m networks
51440	8021x authentications
51444	8021x reauthentications
51451	80221 implementation
51452	80221 information
51465	80222 standard
51506	8051 microcontroller
51615	816 gops
51626	8186 ghz
51668	824 efficiency
51707	83 regions
51816	85 rh
51846	855round trivium
51896	86 solid
51930	87 courses
51979	88 dbchz
52062	896 futurebus
52109	8bit 2gsamples
52130	8bit avr
52137	8bit data
52339	8max pdv
52373	8phase feedforwardcoupling
52466	8tetrahedra shortestinterioredge
52484	8th international
52511	8vector algorithm
52541	8x array
52565	9 10
52573	9 12
52585	9 2012
52778	90 2000
52824	90 degrees
52834	90 higher
52867	90 nm
52911	90 time
52930	900 mhz
53028	90nm cmos
53037	90nm tsmc
53074	911 commission
53077	911 environment
53087	911 years
53254	94ghz dualpolarized
53269	95 case
53271	95 ci
53278	95 confidence
53356	9529 per
53418	96 kbps
53505	97 wavelets
53576	982p9 82p
53578	984807820 2011
53591	99 average
53695	9bit quadrature
53721	9dof inertial
53780	9t bitcell
53784	9t subthreshold
53851	a1 ah
53903	a1a2 r11
53923	a1gorithm proposed
53933	a1x1 a2x2
53943	a2 ak
53945	a2 approximate
53948	a2 b2
53968	a2 super
54030	a2x2 a3x30
54130	aa aa
54308	aab beta
54319	aabias width
54339	aac decoding
54368	aac systems
54422	aadl model
54445	aadt vmt
54522	aal system
54523	aal systems
54591	aamp5 microprocessor
54745	ab b
54783	ab initio
54837	ab system
54841	ab testing
54931	abadi gordon
54975	abandoned assignments
54980	abandoned energy
54985	abandoned issues
54986	abandoned lands
55027	abandonment rate
55069	abatement costs
55170	abbreviation following
55199	abbreviations repeated
55213	abc analysis
55241	abc flows
55243	abc framework
55284	abc supported
55297	abc variants
55323	abcd formula
55332	abcd parameter
55384	abdalla et
55411	abdominal acupuncture
55416	abdominal aortic
55434	abdominal ct
55460	abdominal multiorgan
55495	abdominal thyroid
55560	abduction task
55561	abduction tasks
55596	abductive framework
55602	abductive inferences
55630	abductive reasoning
55636	abductive semantics
55650	abductus valgus
55770	abelian group
55771	abelian groups
55789	abelian linearly
55840	abelian subgroups
55867	abels integral
55955	aberration spectra
55970	aberrations primary
55999	abetbased engineering
56009	abf parameterization
56064	abide study
56092	abilities capabilities
56148	abilities related
56243	ability attract
56277	ability change
56297	ability collect
56310	ability computer
56314	ability connect
56350	ability decision
56358	ability design
56380	ability dispen2d
56569	ability learn
56573	ability learning
56574	ability level
56598	ability mas
56629	ability musicians
56681	ability perception
56712	ability produce
56762	ability repossess
56813	ability sense
56823	ability sign
56956	abinit package
56998	abkcritical graph
57027	ablation catheter
57087	ablation therapy
57092	ablation ventricular
57109	able achieve
57190	able cover
57191	able create
57192	able deal
57196	able decrypt
57200	able deliver
57206	able detect
57211	able discover
57221	able dynamically
57224	able efficiently
57264	able generate
57267	able grasp
57280	able host
57281	able identify
57285	able improve
57314	able locate
57367	able process
57370	able provide
57377	able realize
57387	able reduce
57395	able replicate
57429	able solve
57471	able type
57472	able understand
57478	able verify
57480	able visualize
57499	ablebodied persons
57562	abms new
57564	abms platforms
57585	abnormal activity
57615	abnormal boundaries
57662	abnormal data
57695	abnormal events
57696	abnormal examples
57703	abnormal face
57819	abnormal network
57936	abnormal states
57968	abnormal trajectory
57976	abnormal usage
57977	abnormal user
57982	abnormal values
